source_id,source_name,module_id,module_url,grade,subject,subdomain,module_slug,has_data_xml,has_data_np_xml,page_count,js_asset_count,exercise_asset_count,html_asset_count,data_type,language_type,module_title_en,module_title_ne,discovered_at,last_seen_at,status,notes
EPAATH_grade1__nepali__talatuli_batuli,OLE Nepal E-Paath,grade1/nepali/talatuli_batuli,https://epaath.olenepal.org/activity/grade1/nepali/talatuli_batuli/,1,nepali,nepali_language,talatuli_batuli,0,1,1,1,0,1,monolingual_module,ne,,,2026-05-19T04:37:52Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__uh_ye_china_new,OLE Nepal E-Paath,grade1/nepali/uh_ye_china_new,https://epaath.olenepal.org/activity/grade1/nepali/uh_ye_china_new/,1,nepali,nepali_language,uh_ye_china_new,1,1,7,1,0,8,bilingual_module,en-ne,,,2026-05-19T04:37:52Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__ultoumesh,OLE Nepal E-Paath,grade1/nepali/ultoumesh,https://epaath.olenepal.org/activity/grade1/nepali/ultoumesh/,1,nepali,nepali_language,ultoumesh,1,1,1,1,0,1,bilingual_module,en-ne,,,2026-05-19T04:37:52Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__ya_o_china,OLE Nepal E-Paath,grade1/nepali/ya_o_china,https://epaath.olenepal.org/activity/grade1/nepali/ya_o_china/,1,nepali,nepali_language,ya_o_china,1,1,4,1,0,4,bilingual_module,en-ne,,,2026-05-19T04:37:52Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__yhe_ouh_china_new,OLE Nepal E-Paath,grade1/nepali/yhe_ouh_china_new,https://epaath.olenepal.org/activity/grade1/nepali/yhe_ouh_china_new/,1,nepali,nepali_language,yhe_ouh_china_new,1,1,7,1,0,8,bilingual_module,en-ne,,,2026-05-19T04:37:52Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__science__animal_body_parts,OLE Nepal E-Paath,grade1/science/animal_body_parts,https://epaath.olenepal.org/activity/grade1/science/animal_body_parts/,1,science,science,animal_body_parts,1,1,2,1,0,2,bilingual_module,en-ne,,,2026-05-19T04:37:52Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__science__animals_with_horns_and_tails,OLE Nepal E-Paath,grade1/science/animals_with_horns_and_tails,https://epaath.olenepal.org/activity/grade1/science/animals_with_horns_and_tails/,1,science,science,animals_with_horns_and_tails,1,1,2,1,0,2,bilingual_module,en-ne,,,2026-05-19T04:37:52Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__science__animals_with_wings,OLE Nepal E-Paath,grade1/science/animals_with_wings,https://epaath.olenepal.org/activity/grade1/science/animals_with_wings/,1,science,science,animals_with_wings,1,1,2,1,0,2,bilingual_module,en-ne,,,2026-05-19T04:37:52Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__science__babies_of_animals,OLE Nepal E-Paath,grade1/science/babies_of_animals,https://epaath.olenepal.org/activity/grade1/science/babies_of_animals/,1,science,science,babies_of_animals,1,1,3,1,1,3,bilingual_module,en-ne,,,2026-05-19T04:37:52Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__science__care_of_animals_and_plants,OLE Nepal E-Paath,grade1/science/care_of_animals_and_plants,https://epaath.olenepal.org/activity/grade1/science/care_of_animals_and_plants/,1,science,science,care_of_animals_and_plants,1,1,2,1,0,2,bilingual_module,en-ne,,,2026-05-19T04:37:52Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__science__cleanliness_new,OLE Nepal E-Paath,grade1/science/cleanliness_new,https://epaath.olenepal.org/activity/grade1/science/cleanliness_new/,1,science,science,cleanliness_new,1,1,3,1,0,4,bilingual_module,en-ne,,,2026-05-19T04:37:52Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__science__clothes_we_wear_new,OLE Nepal E-Paath,grade1/science/clothes_we_wear_new,https://epaath.olenepal.org/activity/grade1/science/clothes_we_wear_new/,1,science,science,clothes_we_wear_new,1,1,6,1,1,6,bilingual_module,en-ne,,,2026-05-19T04:37:52Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__science__communication_news,OLE Nepal E-Paath,grade1/science/communication_news,https://epaath.olenepal.org/activity/grade1/science/communication_news/,1,science,science,communication_news,1,1,2,1,0,3,bilingual_module,en-ne,,,2026-05-19T04:37:52Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__science__grass_and_flesh_eating_animals,OLE Nepal E-Paath,grade1/science/grass_and_flesh_eating_animals,https://epaath.olenepal.org/activity/grade1/science/grass_and_flesh_eating_animals/,1,science,science,grass_and_flesh_eating_animals,1,1,4,1,1,4,bilingual_module,en-ne,,,2026-05-19T04:37:52Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__science__hamro_khanekura_new,OLE Nepal E-Paath,grade1/science/hamro_khanekura_new,https://epaath.olenepal.org/activity/grade1/science/hamro_khanekura_new/,1,science,science,hamro_khanekura_new,1,1,5,1,0,6,bilingual_module,en-ne,,,2026-05-19T04:37:52Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__science__identifying_shapes_size,OLE Nepal E-Paath,grade1/science/identifying_shapes_size,https://epaath.olenepal.org/activity/grade1/science/identifying_shapes_size/,1,science,science,identifying_shapes_size,1,1,2,1,0,2,bilingual_module,en-ne,,,2026-05-19T04:37:52Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__science__introducing_ourselves,OLE Nepal E-Paath,grade1/science/introducing_ourselves,https://epaath.olenepal.org/activity/grade1/science/introducing_ourselves/,1,science,science,introducing_ourselves,1,1,2,1,0,3,bilingual_module,en-ne,,,2026-05-19T04:37:52Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__science__land_transportation,OLE Nepal E-Paath,grade1/science/land_transportation,https://epaath.olenepal.org/activity/grade1/science/land_transportation/,1,science,science,land_transportation,1,1,6,1,0,7,bilingual_module,en-ne,,,2026-05-19T04:37:53Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__science__learning_about_plants,OLE Nepal E-Paath,grade1/science/learning_about_plants,https://epaath.olenepal.org/activity/grade1/science/learning_about_plants/,1,science,science,learning_about_plants,1,1,5,1,1,6,bilingual_module,en-ne,,,2026-05-19T04:37:53Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__science__lets_go_to_the_market,OLE Nepal E-Paath,grade1/science/lets_go_to_the_market,https://epaath.olenepal.org/activity/grade1/science/lets_go_to_the_market/,1,science,science,lets_go_to_the_market,1,1,5,1,0,6,bilingual_module,en-ne,,,2026-05-19T04:37:53Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
